Thu Oct 05 09:17:58 2017    prof.txt

         3128204 function calls (3124911 primitive calls) in 5.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 vf2userfunc.py:32(<module>)
      423    0.000    0.000    0.001    0.000 pickle.py:1168(load_binput)
       24    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       44    0.000    0.000    0.000    0.000 function_base.py:1843(diff)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:1347(_parseNoCache)
        8    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
     2179    0.000    0.000    0.000    0.000 {repr}
      384    0.000    0.000    0.001    0.000 pickle.py:933(load_binint2)
      769    0.000    0.000    0.001    0.000 copy_reg.py:46(_reconstructor)
      485    0.000    0.000    0.000    0.000 urllib.py:1203(<genexpr>)
      485    0.000    0.000    0.000    0.000 urlparse.py:331(<genexpr>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:6(<module>)
        1    0.000    0.000    0.000    0.000 weighted.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_closeness.py:2(<module>)
       68    0.000    0.000    0.001    0.000 pickle.py:1201(load_setitems)
        1    0.000    0.000    0.000    0.000 generators.py:5(<module>)
      652    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.001    0.001 nx_agraph.py:17(<module>)
        1    0.000    0.000    0.000    0.000 geometric.py:4(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1610(_pprint_styles)
      652    0.000    0.000    0.000    0.000 <string>:8(__new__)
   121/59    0.000    0.000    0.005    0.000 pyparsing.py:3341(copy)
  199/117    0.000    0.000    0.001    0.000 pyparsing.py:131(_ustr)
        1    0.000    0.000    0.001    0.001 sparse6.py:13(<module>)
    36/25    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       22    0.000    0.000    0.004    0.000 traceback.py:280(extract_stack)
        1    0.000    0.000    0.000    0.000 mixing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
      123    0.000    0.000    0.001    0.000 tokenize.py:264(generate_tokens)
       14    0.000    0.000    0.001    0.000 cbook.py:164(deprecate)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
        1    0.000    0.000    0.000    0.000 edmondskarp.py:4(<module>)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
        1    0.000    0.000    0.000    0.000 color_diff.py:4(<module>)
    58/10    0.000    0.000    0.005    0.001 pyparsing.py:3266(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 pyplot.py:1743(get_plot_commands)
